"PlayerName","Team","POS","ADP","PA","mAVG","mRBI","mR","mSB","mHR","PTS","aPOS","Dollars"
"Richie Martin","Orioles","SS","585.9","168","($64.3)","($38.4)","($24.2)","($9.1)","($51.3)","($187.4)","$42.6","($143.8)"
"Tyler Austin","Twins","1B/DH","581.8","101","($67.7)","($32.5)","($20.5)","($19.5)","($42.9)","($183.1)","$38.2","($143.9)"
"Jose Iglesias","Reds","SS","588.0","118","($61.0)","($37.2)","($23.5)","($13.9)","($52.3)","($187.9)","$42.6","($144.3)"
"Guillermo Heredia","Rays","OF","999.0","121","($62.8)","($37.9)","($22.6)","($17.3)","($51.1)","($191.8)","$46.4","($144.4)"
"Austin Riley","Braves","3B","574.5","75","($67.7)","($35.8)","($22.4)","($20.4)","($47.6)","($193.9)","$48.5","($144.4)"
"Jon Jay","White Sox","OF","589.6","161","($59.4)","($41.2)","($21.9)","($17.4)","($53.0)","($192.9)","$46.4","($145.5)"
"Max Moroff","Indians","2B/SS","999.0","149","($70.5)","($35.8)","($20.1)","($16.8)","($46.0)","($189.1)","$42.6","($145.5)"
"Pablo Sandoval","Giants","1B/3B","600.8","100","($67.4)","($35.7)","($24.3)","($20.3)","($47.4)","($195.0)","$48.5","($145.6)"
"Drew Jackson","Orioles","2B/SS","999.0","147","($69.4)","($37.8)","($23.5)","($10.5)","($48.6)","($189.8)","$42.6","($146.3)"
"Pat Valaika","Rockies","1B/2B/3B/SS","999.0","101","($66.9)","($34.8)","($22.5)","($18.8)","($47.3)","($190.2)","$42.6","($146.7)"
"Travis Jankowski","Padres","OF","559.2","100","($67.0)","($41.3)","($22.7)","($9.7)","($53.4)","($194.1)","$46.4","($146.7)"
"Zack Granite","Rangers","OF","601.0","80","($64.9)","($39.0)","($23.0)","($14.0)","($53.3)","($194.2)","$46.4","($146.9)"
"Alcides Escobar","Orioles","3B/SS","597.2","190","($59.8)","($38.5)","($25.8)","($14.7)","($51.8)","($190.5)","$42.6","($146.9)"
"Adrian Sanchez","Nationals","2B/3B","999.0","46","($70.4)","($39.5)","($24.2)","($18.6)","($53.6)","($206.3)","$58.1","($147.1)"
"Christian Arroyo","Rays","2B/3B/DH","600.1","33","($70.4)","($39.3)","($23.5)","($20.1)","($53.0)","($206.3)","$58.1","($147.2)"
"Ronny Rodriguez","Tigers","SS","999.0","79","($65.6)","($36.5)","($22.8)","($17.0)","($49.6)","($191.5)","$42.6","($148.0)"
"Andy Young","Diamondbacks","2B","999.0","28","($71.5)","($39.2)","($23.5)","($20.5)","($52.4)","($207.2)","$58.1","($148.0)"
"Ramon Urias","Cardinals","2B","999.0","27","($71.5)","($39.5)","($23.6)","($20.3)","($52.9)","($207.7)","$58.1","($148.6)"
"Rosell Herrera","Marlins","OF","999.0","111","($65.1)","($39.5)","($24.9)","($13.7)","($52.7)","($196.0)","$46.4","($148.6)"
"Charlie Culberson","Braves","3B/SS/OF","581.8","136","($66.5)","($36.0)","($24.1)","($17.0)","($48.6)","($192.2)","$42.6","($148.6)"
"Dwight Smith Jr.","Blue Jays","OF","999.0","78","($67.3)","($37.6)","($22.7)","($18.0)","($50.5)","($196.1)","$46.4","($148.7)"
"J.D. Davis","Mets","3B","594.4","67","($69.7)","($36.8)","($23.2)","($20.2)","($48.7)","($198.5)","$48.5","($149.0)"
"Dylan Moore","Mariners","1B","999.0","147","($68.9)","($36.7)","($23.3)","($11.2)","($48.5)","($188.6)","$38.2","($149.4)"
"T.J. Rivera","Mets","2B/3B","999.0","27","($70.9)","($39.8)","($24.0)","($20.5)","($53.5)","($208.7)","$58.1","($149.5)"
"Ehire Adrianza","Twins","3B/SS","600.5","96","($65.0)","($37.5)","($22.3)","($17.1)","($51.3)","($193.2)","$42.6","($149.6)"
